x1,id_orig,country,comm_name,sci_name,id_level,species_cat,species_cat_name,region_fao,dbase,catch_share,policy,scenario,year,catch,biomass,profits,bv_bmsy,fv_fmsy,msy,price,g,k,c,phi,region_fao_chr,n_regions,region_fao_split,iso3
1,ABARES-BGRDRSE-1960-2011-CHING,Australia,Blue Grenadier Southeast Australia,Macruronus novaezelandiae,Species,32,"Cods, hakes, haddocks",5781,RAM,1,Historic,Historic,2012,4220,101009.1,3493807.482,1.72,0.778,6314.76,1157.344,0.108,146759.278,34960295.98,0.188,5781,2,57,AUS
1,ABARES-BGRDRSE-1960-2011-CHING,Australia,Blue Grenadier Southeast Australia,Macruronus novaezelandiae,Species,32,"Cods, hakes, haddocks",5781,RAM,1,Historic,Historic,2012,4220,101009.1,3493807.482,1.72,0.778,6314.76,1157.344,0.108,146759.278,34960295.98,0.188,5781,2,81,AUS
2,ADFG-HERRTOG-1990-2010-HIVELY,USA,Herring Togiak District,Clupea pallasii,Species,35,"Herrings, sardines, anchovies",67,RAM,0,Historic,Historic,2012,23900,133000,7659317.764,2.46,0.208,35032.624,349.062,0.864,101323.262,6358712.692,0.188,67,1,67,USA
3,AFSC-ALPLAICBSAI-1972-2010-STACHURA,USA,Alaska plaice Bering Sea and Aleutian Islands,Pleuronectes quadrituberculatus,Species,31,"Flounders, halibuts, soles",67,RAM,0,Historic,Historic,2012,13900,765000,19959512.21,1.69,0.177,48033.609,1608.811,0.112,1071173.262,392502756.4,0.188,67,1,67,USA
4,AFSC-ARFLOUNDBSAI-1970-2010-STACHURA,USA,Arrowtooth flounder Bering Sea and Aleutian Islands,Reinhardtius stomias,Species,31,"Flounders, halibuts, soles",67,RAM,0,Historic,Historic,2012,16700,1050000,38415022.31,2.5,0.09,63481.34,2418.449,0.176,902509.514,434324233,0.188,67,1,67,USA
5,AFSC-ARFLOUNDGA-1958-2010-STACHURA,USA,Arrowtooth flounder Gulf of Alaska,Atheresthes stomias,Species,31,"Flounders, halibuts, soles",67,RAM,1,Historic,Historic,2012,22300,2140000,68786074.41,2.5,0.029,254271,3168.168,0.305,2084512.123,857826159.6,0.188,67,1,67,USA
6,AFSC-ATKABSAI-1976-2011-STACHURA,USA,Atka mackerel Bering Sea and Aleutian Islands,Pleurogrammus monopterygius,Species,33,Miscellaneous coastal fishes,67,RAM,1,Historic,Historic,2012,72800,520000,69679671.5,1.56,0.671,76974.868,1209.327,0.257,747467.006,179963987.9,0.188,67,1,67,USA
7,AFSC-BKINGCRABPI-1960-2008-JENSEN,USA,Blue king crab Pribilof Islands,Paralithodes platypus,Species,44,"King crabs, squat-lobsters",67,RAM,1,Historic,Historic,2012,0,594,0,0.082,0,1717.902,8942.645,0.134,32066.094,69454972.89,0.188,67,1,67,USA
8,AFSC-DSOLEGA-1978-2009-STACHURA,USA,Dover sole Gulf of Alaska,Microstomus pacificus,Species,31,"Flounders, halibuts, soles",67,RAM,0,Historic,Historic,2012,458,90000,449426.621,2.5,0.048,3192.456,1022.233,0.102,78060.186,18683329.05,0.188,67,1,67,USA
9,AFSC-DUSROCKGA-1973-2010-STACHURA,USA,Dusky rockfish Gulf of Alaska,Sebastes variabilis,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,3050,71100,2521724.273,1.59,0.546,2760.303,957.527,0.049,140025.496,43833923.61,0.188,67,1,67,USA
10,AFSC-FLSOLEBSAI-1974-2010-STACHURA,USA,Flathead sole Bering Sea and Aleutian Islands,Hippoglossoides elassodon,Species,31,"Flounders, halibuts, soles",67,RAM,1,Historic,Historic,2012,18500,772000,22316053.17,2.04,0.166,83321,1339.125,0.195,1069764.297,212884229.4,0.188,67,1,67,USA
11,AFSC-FLSOLEGA-1978-2010-STACHURA,USA,Flathead sole Gulf of Alaska,Hippoglossoides elassodon,Species,31,"Flounders, halibuts, soles",67,RAM,1,Historic,Historic,2012,3780,329000,4880200.76,2.5,0.051,28310.774,1339.125,0.214,330067.733,63810738.68,0.188,67,1,67,USA
12,AFSC-GHALBSAI-1960-2009-STANTON,USA,Greenland turbot Bering Sea and Aleutian Islands,Reinhardtius hippoglossoides,Species,31,"Flounders, halibuts, soles",67,RAM,1,Historic,Historic,2012,2540,94800,9561766.854,1.46,0.093,18763.453,4075.504,0.304,154163.362,81665262.22,0.188,67,1,67,USA
13,AFSC-NROCKBSAI-1974-2011-STACHURA,USA,Northern rockfish Bering Sea and Aleutian Islands,Sebastes polyspinis,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,3110,202000,2543334.226,1.6,0.29,6848.128,957.527,0.048,355580.461,112092300.4,0.188,67,1,67,USA
14,AFSC-NROCKGA-1959-2010-STACHURA,USA,Northern rockfish Gulf of Alaska,Sebastes polyspinis,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,3580,103000,2910224.186,1.62,0.364,6070,957.527,0.091,166061.776,43193865.19,0.188,67,1,67,USA
15,AFSC-NRSOLEEBSAI-1975-2012-HIVELY,USA,Northern rock sole Eastern Bering Sea and Aleutian Islands,Lepidopsetta polyxystra,Species,31,"Flounders, halibuts, soles",67,RAM,0,Historic,Historic,2012,74400,1630000,64402223.09,2.33,0.231,259310,1022.233,0.33,1962324.939,330361708.1,0.188,67,1,67,USA
16,AFSC-PCODBSAI-1964-2013-CHING,USA,Pacific cod Bering Sea and Aleutian Islands,Gadus macrocephalus,Species,32,"Cods, hakes, haddocks",67,RAM,1,Historic,Historic,2012,212000,891000,443033656.7,1.18,0.774,256004.549,2707.561,0.443,1443956.641,526206916.9,0.188,67,1,67,USA
17,AFSC-PCODGA-1977-2014-HIVELY,USA,Pacific cod Gulf of Alaska,Gadus macrocephalus,Species,32,"Cods, hakes, haddocks",67,RAM,1,Historic,Historic,2012,78000,188302.9,178978983.2,1.46,0.57,93771.85,2707.561,0.729,321776.408,101020420.6,0.188,67,1,67,USA
18,AFSC-PERCHEBSAI-1960-2011-STACHURA,USA,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,Sebastes alutus,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,15300,613000,12011066.95,1.64,0.391,28200.066,957.527,0.062,1137884.321,332568113.8,0.188,67,1,67,USA
19,AFSC-POPERCHGA-1959-2010-STACHURA,USA,Pacific ocean perch Gulf of Alaska,Sebastes alutus,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,14500,335000,11066813.52,1.35,0.531,20243,957.527,0.056,909732.381,274620771,0.188,67,1,67,USA
20,AFSC-REXSOLEGA-1979-2011-HIVELY,USA,Rex sole Gulf of Alaska,Glyptocephalus zachirus,Species,31,"Flounders, halibuts, soles",67,RAM,0,Historic,Historic,2012,3390,117000,3144622.073,2.5,0.577,2171.46,1022.233,0.052,104437.978,30621306.06,0.188,67,1,67,USA
21,AFSC-REYEROCKBSAI-1974-2011-STACHURA,USA,Rougheye rockfish Bering Sea and Aleutian Islands,Sebastes aleutianus,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,209,17900,127143.33,0.886,0.368,843.772,957.527,0.045,46658.935,14989110.49,0.188,67,1,67,USA
22,AFSC-REYEROCKGA-1974-2010-STACHURA,USA,Rougheye rockfish Gulf of Alaska,Sebastes aleutianus,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,280,45400,234486.117,1.54,0.179,992.047,957.527,0.035,70906.527,24601437.07,0.188,67,1,67,USA
23,AFSC-RKCRABBB-1960-2008-JENSEN,USA,Red king crab Bristol Bay,Paralithodes camtschaticus,Species,44,"King crabs, squat-lobsters",67,RAM,1,Historic,Historic,2012,10500,104000,19254473.28,1.11,1.05,23645.802,8942.645,0.303,194998.936,330566380.9,0.188,67,1,67,USA
24,AFSC-RKCRABPI-1981-2009-JENSEN,USA,Red king crab Pribilof Islands,Paralithodes camtschaticus,Species,44,"King crabs, squat-lobsters",67,RAM,1,Historic,Historic,2012,0,10100,0,2.5,0,942.264,8942.645,0.247,9556.794,17238406.74,0.188,67,1,67,USA
25,AFSC-SABLEFEBSAIGA-1958-2010-STACHURA,USA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,11300,220000,41073086.56,1.1,0.585,18950,5025.499,0.082,579518.81,818014802.6,0.188,67,1,67,USA
26,AFSC-SNOWCRABBS-1978-2013-HIVELY,USA,Snow crab Bering Sea,Chionoecetes opilio,Species,42,"Crabs, sea-spiders",67,RAM,1,Historic,Historic,2012,30100,294377.7,104347352.7,1.1,0.373,73447.007,4469.184,0.275,667052.901,581729839.9,0.188,67,1,67,USA
27,AFSC-TANNERCRABBSAI-1949-2013-HIVELY,USA,Tanner crab Bering Sea and Aleutian Islands,Chionoecetes bairdi,Species,42,"Crabs, sea-spiders",67,RAM,1,Historic,Historic,2012,0,136992.9,0,1.77,0,8504.025,5315.587,0.11,193390.16,264183429.2,0.188,67,1,67,USA
28,AFSC-WPOLLAI-1976-2013-CHING,USA,Walleye pollock Aleutian Islands,Theragra chalcogramma,Species,32,"Cods, hakes, haddocks",67,RAM,1,Historic,Historic,2012,961,235000,776935.825,0.958,0.021,43212.437,875.142,0.167,648210.382,102390366.8,0.188,67,1,67,USA
